school_id,district_id,triplet_id,year,treatment,SD,nrrombel,nrstudents,classsize,nrteachers
133,8,45,0,control,primary school,9,224,24.888889,10
134,8,45,0,treatment,primary school,6,116,19.333334,6
142,8,48,0,control,primary school,6,238,39.666668,6
137,8,46,0,treatment,primary school,6,172,28.666666,6
138,8,46,0,control,primary school,6,207,34.5,7
140,8,47,0,control,primary school,6,70,11.666667,6
135,8,45,0,control,primary school,12,490,40.833332,12
141,8,47,0,control,primary school,11,278,25.272728,12
143,8,48,0,control,primary school,6,77,12.833333,6
144,8,48,0,treatment,primary school,6,149,24.833334,6
127,8,43,0,control,junior secondary school,6,114,19,3
130,8,44,0,control,junior secondary school,8,176,22,7
128,8,43,0,treatment,junior secondary school,5,78,15.6,4
131,8,44,0,control,junior secondary school,9,264,29.333334,6
132,8,44,0,treatment,junior secondary school,4,65,16.25,4
129,8,43,0,control,junior secondary school,6,85,14.166667,6
358,20,120,0,control,primary school,11,272,24.727272,12
355,20,119,0,treatment,primary school,8,210,26.25,8
352,20,118,0,control,primary school,8,181,22.625,8
353,20,118,0,treatment,primary school,9,207,23,10
359,20,120,0,treatment,primary school,6,116,19.333334,7
349,20,117,0,control,primary school,6,160,26.666666,6
360,20,120,0,control,primary school,6,82,13.666667,6
356,20,119,0,control,primary school,6,154,25.666666,6
350,20,117,0,treatment,primary school,6,192,32,7
351,20,117,0,control,primary school,6,60,10,7
354,20,118,0,control,primary school,7,170,24.285715,7
357,20,119,0,control,primary school,6,67,11.166667,7
346,20,116,0,control,junior secondary school,21,499,23.761906,18
343,20,115,0,control,junior secondary school,7,109,15.571428,13
347,20,116,0,control,junior secondary school,6,116,19.333334,13
348,20,116,0,treatment,junior secondary school,9,187,20.777779,9
344,20,115,0,control,junior secondary school,6,114,19,9
345,20,115,0,treatment,junior secondary school,6,86,14.333333,6
115,7,39,0,treatment,primary school,12,324,27,13
124,7,42,0,control,primary school,12,400,33.333332,12
121,7,41,0,treatment,primary school,12,367,30.583334,12
122,7,41,0,control,primary school,6,145,24.166666,6
